ACCOUNTNO,SUBNAME,SITUS,AYB,PRIMARYIMP,EXT CONDITION,INT CONDITION,TAXYEAR,SumOfRAWASSESSEDVALUE,SumOfACTUALVALUE,ATTRIBUTETYPE,ATTRIBUTESUBTYPE
R001080,PALISADE ADDITION (GUNNISON),"3  IRWIN ST, GUNNISON, CO 81230",1964,1,Average,,2025,30220,483560,VIEWS,TYPICAL OR AVERAGE
R001083,PALISADE ADDITION (GUNNISON),"9  IRWIN ST, GUNNISON, CO 81230",1964,1,Average,,2025,39360,629850,VIEWS,TYPICAL OR AVERAGE
R001084,PALISADE ADDITION (GUNNISON),"11  IRWIN ST, GUNNISON, CO 81230",1962,1,Average,,2025,36160,578630,VIEWS,TYPICAL OR AVERAGE
R001086,PALISADE ADDITION (GUNNISON),"15  IRWIN ST, GUNNISON, CO 81230",1963,1,Average,,2025,38190,611080,VIEWS,TYPICAL OR AVERAGE
R001088,PALISADE ADDITION (GUNNISON),"19  IRWIN ST, GUNNISON, CO 81230",1965,1,Below Average,,2025,34120,546050,VIEWS,TYPICAL OR AVERAGE
R001090,PALISADE ADDITION (GUNNISON),"23  QUARTZ ST, GUNNISON, CO 81230",1976,1,Average,,2025,43860,701710,VIEWS,TYPICAL OR AVERAGE
R001095,PALISADE ADDITION (GUNNISON),"17  QUARTZ ST, GUNNISON, CO 81230",1976,1,Average,,2025,37570,601070,VIEWS,TYPICAL OR AVERAGE
R001096,PALISADE ADDITION (GUNNISON),"19  QUARTZ ST, GUNNISON, CO 81230",1976,1,Average,,2025,37000,592040,VIEWS,TYPICAL OR AVERAGE
R001099,WEST GUNNISON,"321 N 8TH ST, GUNNISON, CO 81230",1974,1,Average,,2025,58550,936730,VIEWS,TYPICAL OR AVERAGE
R001102,WEST GUNNISON,"1201 W OHIO AVE, GUNNISON, CO 81230",1979,1,Average,,2025,32880,526040,VIEWS,TYPICAL OR AVERAGE
R001114,WEST GUNNISON,"113 N 8TH ST, GUNNISON, CO 81230",1957,1,Average,,2025,38960,623320,VIEWS,TYPICAL OR AVERAGE
R001116,WEST GUNNISON,"108 N 7TH ST, GUNNISON, CO 81230",1971,1,Average,,2025,25370,405880,VIEWS,TYPICAL OR AVERAGE
R001117,"TOMICHI WEST TOWNHOMES, WEST GUNNISON","1118 W TOMICHI AVE, GUNNISON, CO 81230",1998,1,Average,,2025,15240,243760,VIEWS,TYPICAL OR AVERAGE
R001120,WEST GUNNISON,"117 N 7TH ST, GUNNISON, CO 81230",1940,1,Average,,2025,22090,353290,VIEWS,TYPICAL OR AVERAGE
R001121,WEST GUNNISON,"1205 W VIRGINIA AVE, GUNNISON, CO 81230",1975,1,Average,,2025,24650,394330,VIEWS,TYPICAL OR AVERAGE
R001123,WEST GUNNISON,"1206 W TOMICHI AVE, GUNNISON, CO 81230",1939,1,Below Average,,2025,44020,704460,VIEWS,LIMITED OR BELOW AVERAGE
R001126,"ISLAND ADDITION (GUNNISON), WEST GUNNISON (W. GUNN SANITATION)","1700 W TOMICHI AVE, GUNNISON, CO 81230",1947,1,Average,,2025,49670,794830,VIEWS,TYPICAL OR AVERAGE
R001131,"ISLAND ADDITION (GUNNISON), WEST GUNNISON (W. GUNN SANITATION)","1706 W TOMICHI AVE, GUNNISON, CO 81230",1983,1,Average,,2025,40450,647190,VIEWS,TYPICAL OR AVERAGE
R001133,WEST GUNNISON,"704 N 14TH ST, GUNNISON, CO 81230",1850,1,Average,,2025,28070,449040,VIEWS,TYPICAL OR AVERAGE
R001134,WEST GUNNISON,"700 N 14TH ST, GUNNISON, CO 81230",1955,1,Good,,2025,39910,638530,VIEWS,TYPICAL OR AVERAGE
R001135,WEST GUNNISON,"714 N 14TH ST, GUNNISON, CO 81230",1960,1,Average,,2025,26070,417240,VIEWS,TYPICAL OR AVERAGE
R001136,WEST GUNNISON,"713 N 14TH ST, GUNNISON, CO 81230",1940,1,Average,,2025,28380,454180,VIEWS,TYPICAL OR AVERAGE
R001137,"GILL'S ADDITION (GUNNISON), WEST GUNNISON","716 N BOULEVARD ST, GUNNISON, CO 81230",1983,1,Average,,2025,40170,642740,VIEWS,TYPICAL OR AVERAGE
R001139,WEST GUNNISON,"704 N BOULEVARD ST, GUNNISON, CO 81230",1964,1,Average,,2025,51120,817880,VIEWS,TYPICAL OR AVERAGE
R001140,WEST GUNNISON,"701 N 14TH ST, GUNNISON, CO 81230",1937,1,Average,,2025,45270,724430,VIEWS,TYPICAL OR AVERAGE
R001141,WEST GUNNISON,"711 N BOULEVARD ST, GUNNISON, CO 81230",1964,1,Average,,2025,28340,453460,VIEWS,TYPICAL OR AVERAGE
R001142,WEST GUNNISON,"716 N 12TH ST, GUNNISON, CO 81230",1975,1,Average,,2025,32610,521730,VIEWS,TYPICAL OR AVERAGE
R001143,WEST GUNNISON,"710 N 12TH ST, GUNNISON, CO 81230",1975,1,Good,,2025,34890,558330,VIEWS,TYPICAL OR AVERAGE
R001144,WEST GUNNISON,"616 W DENVER AVE, GUNNISON, CO 81230",1964,1,Average,,2025,47890,766310,VIEWS,TYPICAL OR AVERAGE
R001145,WEST GUNNISON,"614 W DENVER AVE, GUNNISON, CO 81230",1976,1,Average,,2025,59310,948830,VIEWS,TYPICAL OR AVERAGE
R001149,WEST GUNNISON,"706 N 11TH ST, GUNNISON, CO 81230",1962,1,Average,,2025,29220,467610,VIEWS,TYPICAL OR AVERAGE
R001150,WEST GUNNISON,"714 W DENVER AVE, GUNNISON, CO 81230",1950,1,Average,,2025,29590,473570,VIEWS,TYPICAL OR AVERAGE
R001154,WEST GUNNISON,"715 W DENVER AVE, GUNNISON, CO 81230",1972,1,Average,,2025,31810,509050,VIEWS,TYPICAL OR AVERAGE
R001155,WEST GUNNISON,"616 N 11TH ST, GUNNISON, CO 81230",1935,1,Average,,2025,31860,509780,VIEWS,TYPICAL OR AVERAGE
R001157,WEST GUNNISON,"610 N 11TH ST, GUNNISON, CO 81230",1955,1,Below Average,,2025,23380,374080,VIEWS,TYPICAL OR AVERAGE
R001159,WEST GUNNISON,"700 W RUBY AVE, GUNNISON, CO 81230",1941,1,Average,,2025,46650,746410,VIEWS,TYPICAL OR AVERAGE
R001161,WEST GUNNISON,"621 N 12TH ST, GUNNISON, CO 81230",1956,1,Below Average,,2025,31710,507320,VIEWS,TYPICAL OR AVERAGE
R001162,WEST GUNNISON,"621 N BOULEVARD ST, GUNNISON, CO 81230",1937,1,Average,,2025,53820,861020,VIEWS,TYPICAL OR AVERAGE
R001163,WEST GUNNISON,"620 N 12TH ST, GUNNISON, CO 81230",1929,1,Average,,2025,49350,789710,VIEWS,TYPICAL OR AVERAGE
R001165,WEST GUNNISON,"601 N BOULEVARD ST, GUNNISON, CO 81230",1940,1,Average,,2025,37540,600730,VIEWS,TYPICAL OR AVERAGE
R001166,WEST GUNNISON,"605 N BOULEVARD ST, GUNNISON, CO 81230",1928,1,Below Average,,2025,29900,478420,VIEWS,TYPICAL OR AVERAGE
R001169,WEST GUNNISON,"600 N 12TH ST, GUNNISON, CO 81230",2020,1,Average,,2025,48780,780470,VIEWS,TYPICAL OR AVERAGE
R001173,WEST GUNNISON,"602 N BOULEVARD ST, GUNNISON, CO 81230",1967,1,Good,,2025,41530,664550,VIEWS,TYPICAL OR AVERAGE
R001174,WEST GUNNISON,"600 N BOULEVARD ST, GUNNISON, CO 81230",1940,1,Good,,2025,49410,790560,VIEWS,TYPICAL OR AVERAGE
R001175,WEST GUNNISON,"601 N 14TH ST UNIT A, GUNNISON, CO 81230",2020,1,Good,,2025,71730,1147680,VIEWS,TYPICAL OR AVERAGE
R001180,WEST GUNNISON,"508 N 14TH ST, GUNNISON, CO 81230",1967,1,Average,,2025,40330,645330,VIEWS,TYPICAL OR AVERAGE
R001183,WEST GUNNISON,"524 N BOULEVARD ST, GUNNISON, CO",1990,1,Average,,2025,64710,1035450,VIEWS,TYPICAL OR AVERAGE
R001184,WEST GUNNISON,"510 N BOULEVARD ST, GUNNISON, CO 81230",2002,1,Average,,2025,31920,510720,VIEWS,LIMITED OR BELOW AVERAGE
R001185,WEST GUNNISON,"516 W GOTHIC AVE, GUNNISON, CO 81230",1974,1,Average,,2025,41410,662510,VIEWS,TYPICAL OR AVERAGE
R001186,WEST GUNNISON,"513 N 14TH ST, GUNNISON, CO 81230",1901,1,Average,,2025,57430,918910,VIEWS,TYPICAL OR AVERAGE
R001187,WEST GUNNISON,"509 N 14TH ST, GUNNISON, CO 81230",1935,1,Average,,2025,31170,498630,VIEWS,TYPICAL OR AVERAGE
R001188,WEST GUNNISON,"504 W GOTHIC AVE, GUNNISON, CO 81230",1984,1,Average,,2025,47610,761790,VIEWS,TYPICAL OR AVERAGE
R001190,WEST GUNNISON,"524 N 12TH ST, GUNNISON, CO 81230",1958,1,Average,,2025,42060,673000,VIEWS,TYPICAL OR AVERAGE
R001193,WEST GUNNISON,"600 W GOTHIC AVE, GUNNISON, CO 81230",1928,1,Average,,2025,21470,343600,VIEWS,TYPICAL OR AVERAGE
R001195,WEST GUNNISON,"515 N BOULEVARD ST, GUNNISON, CO 81230",1936,1,Average,,2025,38460,615280,VIEWS,TYPICAL OR AVERAGE
R001198,WEST GUNNISON,"517 N 12TH ST, GUNNISON, CO 81230",1981,1,Average,,2025,39000,623860,VIEWS,TYPICAL OR AVERAGE
R001199,WEST GUNNISON,"519 N 12TH ST, GUNNISON, CO 81230",1964,1,Average,,2025,27420,438740,VIEWS,TYPICAL OR AVERAGE
R001201,WEST GUNNISON,"710 W GOTHIC AVE, GUNNISON, CO 81230",1964,1,Average,,2025,47330,757280,VIEWS,TYPICAL OR AVERAGE
R001203,WEST GUNNISON,"520 N 11TH ST, GUNNISON, CO 81230",1990,1,Average,,2025,39570,633230,VIEWS,SCENIC OR ABOVE AVERAGE
R001204,WEST GUNNISON,"510 N 11TH ST, GUNNISON, CO 81230",1999,1,Average,,2025,49640,794280,VIEWS,TYPICAL OR AVERAGE
R001206,WEST GUNNISON,"415 N 12TH ST, GUNNISON, CO 81230",1900,1,Average,,2025,33990,543820,VIEWS,TYPICAL OR AVERAGE
R001210,WEST GUNNISON,"418 N 12TH ST, GUNNISON, CO 81230",1885,1,Average,,2025,41410,662560,VIEWS,TYPICAL OR AVERAGE
R001211,WEST GUNNISON,"412 N 12TH ST, GUNNISON, CO 81230",1995,1,Average,,2025,32060,512940,VIEWS,TYPICAL OR AVERAGE
R001212,WEST GUNNISON,"406 N 12TH ST, GUNNISON, CO 81230",1936,1,Average,,2025,37280,596490,VIEWS,TYPICAL OR AVERAGE
R001215,WEST GUNNISON,"421 N 14TH ST, GUNNISON, CO 81230",1957,1,Average,,2025,30460,487270,VIEWS,TYPICAL OR AVERAGE
R001216,WEST GUNNISON,"420 N BOULEVARD ST, GUNNISON, CO 81230",1956,1,Average,,2025,37530,600470,VIEWS,TYPICAL OR AVERAGE
R001221,WEST GUNNISON,"419 N 14TH ST, GUNNISON, CO 81230",2008,1,Average,,2025,35000,560060,VIEWS,TYPICAL OR AVERAGE
R001223,WEST GUNNISON,"418 N 14TH ST, GUNNISON, CO 81230",1960,1,Average,,2025,28060,448980,VIEWS,TYPICAL OR AVERAGE
R001224,WEST GUNNISON,"416 N 14TH ST, GUNNISON, CO 81230",1955,1,Average,,2025,29070,465070,VIEWS,TYPICAL OR AVERAGE
R001226,WEST GUNNISON,"412 N 14TH ST, GUNNISON, CO 81230",2009,1,Average,,2025,40890,654200,VIEWS,TYPICAL OR AVERAGE
R001227,WEST GUNNISON,"800 W DENVER AVE, GUNNISON, CO 81230",1954,1,Below Average,,2025,49680,794950,VIEWS,TYPICAL OR AVERAGE
R001228,WEST GUNNISON,"711 N 11TH ST, GUNNISON, CO 81230",2002,1,Average,,2025,94300,1508820,VIEWS,TYPICAL OR AVERAGE
R001231,LOT B BLOCK 95 SUBDIVISION,"916 W DENVER AVE, GUNNISON, CO 81230",1940,1,Below Average,,2025,33860,541780,VIEWS,TYPICAL OR AVERAGE
R001235,WEST GUNNISON,"901 W DENVER AVE, GUNNISON, CO 81230",1995,1,Average,,2025,210080,3361260,VIEWS,TYPICAL OR AVERAGE
R001239,WEST GUNNISON,"321 N 11TH ST, GUNNISON, CO 81230",1888,1,Average,,2025,38880,622190,VIEWS,TYPICAL OR AVERAGE
R001240,WEST GUNNISON,"309 N 11TH ST, GUNNISON, CO 81230",1930,1,Average,,2025,39830,637360,VIEWS,TYPICAL OR AVERAGE
R001254,WEST GUNNISON,"215 N 10TH ST, GUNNISON, CO 81230",1995,1,Average,,2025,56700,907310,VIEWS,TYPICAL OR AVERAGE
R001256,WEST GUNNISON,"221 N 11TH ST, GUNNISON, CO 81230",1952,1,Average,,2025,25380,406110,VIEWS,TYPICAL OR AVERAGE
R001257,WEST GUNNISON,"218 N 10TH ST, GUNNISON, CO 81230",1950,1,Average,,2025,37340,597400,VIEWS,TYPICAL OR AVERAGE
R001258,WEST GUNNISON,"219 N 11TH ST, GUNNISON, CO 81230",1926,1,Average,,2025,29870,477970,VIEWS,TYPICAL OR AVERAGE
R001259,WEST GUNNISON,"211 N 11TH ST, GUNNISON, CO 81230",1920,1,Average,,2025,40920,654780,VIEWS,TYPICAL OR AVERAGE
R001260,WEST GUNNISON,"822 W VIRGINIA AVE, GUNNISON, CO 81230",1915,1,Average,,2025,43080,689250,VIEWS,TYPICAL OR AVERAGE
R001261,WEST GUNNISON,"205 N 11TH ST, GUNNISON, CO 81230",1972,1,Average,,2025,46840,749340,VIEWS,TYPICAL OR AVERAGE
R001264,WEST GUNNISON,"820 W TOMICHI AVE, GUNNISON, CO",1990,1,Average,Average,2025,809210,2997070,VIEWS,TYPICAL OR AVERAGE
R001266,WEST GUNNISON,"800 W TOMICHI AVE, GUNNISON, CO",1974,1,Average,,2025,190630,706040,VIEWS,TYPICAL OR AVERAGE
R001267,WEST GUNNISON,"123 N 10TH ST, GUNNISON, CO 81230",1947,1,Below Average,,2025,25690,411010,VIEWS,TYPICAL OR AVERAGE
R001269,WEST GUNNISON,"118 N 8TH ST, GUNNISON, CO 81230",1941,1,Average,,2025,29220,467480,VIEWS,TYPICAL OR AVERAGE
R001274,WEST GUNNISON,"408 N 14TH ST, GUNNISON, CO 81230",2024,1,Average,,2025,31980,511760,VIEWS,TYPICAL OR AVERAGE
R001276,WEST GUNNISON,"400 N BOULEVARD ST, GUNNISON, CO 81230",2014,1,Average,,2025,39210,627380,VIEWS,TYPICAL OR AVERAGE
R001278,WEST GUNNISON,"317 N 12TH ST, GUNNISON, CO 81230",1891,1,Average,,2025,31910,510660,VIEWS,TYPICAL OR AVERAGE
R001281,WEST GUNNISON,"303 N 12TH ST, GUNNISON, CO 81230",1887,1,Average,,2025,41460,663350,VIEWS,TYPICAL OR AVERAGE
R001284,WEST GUNNISON,"315 N 12TH ST, GUNNISON, CO 81230",1964,1,Average,,2025,30530,488500,VIEWS,TYPICAL OR AVERAGE
R001287,WEST GUNNISON,"306 N 12TH ST, GUNNISON, CO",1905,1,Below Average,,2025,35550,568900,VIEWS,TYPICAL OR AVERAGE
R001288,WEST GUNNISON,"302 N 12TH ST, GUNNISON, CO 81230",1938,1,Average,,2025,27410,438650,VIEWS,TYPICAL OR AVERAGE
R001290,WEST GUNNISON,"311 N BOULEVARD ST, GUNNISON, CO 81230",1945,1,Average,,2025,26160,418520,VIEWS,TYPICAL OR AVERAGE
R001294,WEST GUNNISON,"508 W GEORGIA AVE, GUNNISON, CO 81230",1933,1,Average,,2025,33870,541950,VIEWS,TYPICAL OR AVERAGE
R001295,WEST GUNNISON,"500 W GEORGIA AVE, GUNNISON, CO 81230",1946,1,Average,,2025,33020,528240,VIEWS,TYPICAL OR AVERAGE
R001299,WEST GUNNISON,"324 N 14TH ST, GUNNISON, CO 81230",1926,1,Average,,2025,25700,411250,VIEWS,TYPICAL OR AVERAGE
R001303,WEST GUNNISON,"508 W VIRGINIA AVE, GUNNISON, CO 81230",1918,1,Average,,2025,51140,818180,VIEWS,TYPICAL OR AVERAGE
R001305,WEST GUNNISON,"512 W VIRGINIA AVE, GUNNISON, CO 81230",1918,1,Minimum,,2025,33740,539840,VIEWS,TYPICAL OR AVERAGE
R001306,WEST GUNNISON,"225 N BOULEVARD ST, GUNNISON, CO 81230",1945,1,Average,,2025,33700,539330,VIEWS,TYPICAL OR AVERAGE
R001307,WEST GUNNISON,"218 N 12TH ST, GUNNISON, CO 81230",1887,1,Good,,2025,39790,636750,VIEWS,TYPICAL OR AVERAGE
